id,clave,descripcion
catalogos_clave_prod_stcc110,14914,Piedra pómez y pumicita cruda
catalogos_clave_prod_stcc111,19,Artillería
catalogos_clave_prod_stcc112,191,"Armas, obuses y morteros"
catalogos_clave_prod_stcc113,192,"Municiones, más de 30 mm"
catalogos_clave_prod_stcc114,193,Vehículos de combate con orugas completas
catalogos_clave_prod_stcc115,194,Equipo de avistamiento y control de incendios
catalogos_clave_prod_stcc116,195,"Brazos pequeños, LTE 30 mm"
catalogos_clave_prod_stcc117,196,"Munición para armas pequeñas, LTE 30 mm"
catalogos_clave_prod_stcc118,199,Miscelánea de municiones y accesorios
catalogos_clave_prod_stcc119,20,Productos alimenticios
catalogos_clave_prod_stcc120,201,Carne y aves de corral
catalogos_clave_prod_stcc121,2011,"Carne, fresca o refrigerada"
catalogos_clave_prod_stcc122,2012,Carne fresca congelada
catalogos_clave_prod_stcc123,2013,Productos de carne
catalogos_clave_prod_stcc124,2014,Subproductos animales no comestibles
catalogos_clave_prod_stcc125,20141,"Cueros y pieles, sin curtir"
catalogos_clave_prod_stcc126,2015,Aves frescas aliñadas
catalogos_clave_prod_stcc127,2016,Aves de corral congeladas
catalogos_clave_prod_stcc128,2017,Aves procesadas y caza menor
catalogos_clave_prod_stcc129,202,Productos lácteos
catalogos_clave_prod_stcc130,2021,Crema de mantequilla
catalogos_clave_prod_stcc131,2023,Evaporar leche en polvo condensada
catalogos_clave_prod_stcc132,2024,Helados y postres helados
catalogos_clave_prod_stcc133,2025,Queso y lácteos especiales prd
catalogos_clave_prod_stcc134,2026,Leche y nata procesadas
catalogos_clave_prod_stcc135,203,Alimentos enlatados y en conserva
catalogos_clave_prod_stcc136,2031,Mariscos enlatados y curados
catalogos_clave_prod_stcc137,2032,Especialidades enlatadas
catalogos_clave_prod_stcc138,2033,"Frutas, verduras y mermeladas enlatadas"
catalogos_clave_prod_stcc139,2034,Frutas y verduras secas y deshidratadas
catalogos_clave_prod_stcc140,2035,"Frutas y verduras en escabeche, salsas"
catalogos_clave_prod_stcc141,2036,Pescado envasado
catalogos_clave_prod_stcc142,2037,"Frutas, jugos y verduras congeladas"
catalogos_clave_prod_stcc143,2038,Especialidades congeladas
catalogos_clave_prod_stcc144,2039,Frutas y verduras enlatadas y en conserva
catalogos_clave_prod_stcc145,204,Productos de molino de grano
catalogos_clave_prod_stcc146,2041,Molino de harina y otros granos prd
catalogos_clave_prod_stcc147,20411,Harina de trigo excl. Mezclada
catalogos_clave_prod_stcc148,20412,Salvado de trigo
catalogos_clave_prod_stcc149,20421,Pienso preparado para animales
catalogos_clave_prod_stcc150,20423,Alimentos enlatados para animales
catalogos_clave_prod_stcc151,2043,Preparaciones de cereales
catalogos_clave_prod_stcc152,2044,"Harina, harina y arroz molidos"
catalogos_clave_prod_stcc153,2045,Harina mezclada y preparada
catalogos_clave_prod_stcc154,2046,Productos de molienda de maíz húmedo
catalogos_clave_prod_stcc155,20461,Jarabe de maíz
catalogos_clave_prod_stcc156,20462,Maicena
catalogos_clave_prod_stcc157,20463,Azúcar de maíz
catalogos_clave_prod_stcc158,20471,Alimentos para mascotas no enlatados
catalogos_clave_prod_stcc159,20472,Alimentos enlatados para mascotas
