id,clave,descripcion
catalogos_clave_prod_stcc448,41,Envíos de carga misceláneos
catalogos_clave_prod_stcc449,411,Envíos de carga misceláneos
catalogos_clave_prod_stcc450,41111,Conjuntos o kits
catalogos_clave_prod_stcc451,41114,"Artículos, usados, excl códigos"
catalogos_clave_prod_stcc452,41115,"Artículos, usados, rtd para reparación"
catalogos_clave_prod_stcc453,412,Productos varios
catalogos_clave_prod_stcc454,42,Contenedores y remolques vacíos
catalogos_clave_prod_stcc455,421,Envases vacíos nonrev
catalogos_clave_prod_stcc456,422,Remolques vacíos
catalogos_clave_prod_stcc457,423,Ingresos remolques vacíos
catalogos_clave_prod_stcc458,44,Tráfico de transporte de carga
catalogos_clave_prod_stcc459,441,Tráfico de transitarios
catalogos_clave_prod_stcc460,45,Transporte asociado o tráfico similar
catalogos_clave_prod_stcc461,451,Remitente de tráfico
catalogos_clave_prod_stcc462,46,Envíos mixtos misceláneos
catalogos_clave_prod_stcc463,461,Envíos mixtos misceláneos
catalogos_clave_prod_stcc464,462,"Envíos varios mixtos, 2 productos"
catalogos_clave_prod_stcc465,48,Residuos peligrosos
