id,clave,descripcion
catalogos_materiales_peligrosos50,M0050,"EXPLOSIVOS PARA VOLADURAS, TIPO D (Producto o material explosivo)",
catalogos_materiales_peligrosos51,M0051,BENGALAS DE SUPERFICIE (Producto o material explosivo),
catalogos_materiales_peligrosos52,M0052,BENGALAS AÉREAS (Producto o material explosivo),
catalogos_materiales_peligrosos53,M0053,PÓLVORA DE DESTELLOS (Producto o material explosivo),
catalogos_materiales_peligrosos54,M0054,"DISPOSITIVOS EXPLOSIVOS DE FRACTURACIÓN sin detonador, para pozos de petróleo",
catalogos_materiales_peligrosos55,M0055,MECHA NO DETONANTE (Producto o material explosivo),
catalogos_materiales_peligrosos56,M0056,MECHA DETONANTE con envoltura metálica (Producto o material explosivo),
catalogos_materiales_peligrosos57,M0057,"MECHA DE IGNICIÓN, tubular, con envoltura metálica (Producto o material explosivo)",
catalogos_materiales_peligrosos58,M0058,"MECHA DETONANTE DE EFECTO REDUCIDO, con envoltura metálica (Producto o material explosivo)",
catalogos_materiales_peligrosos59,M0059,MECHA DE SEGURIDAD (MECHA LENTA o MECHA BICKFORD) (Producto o material explosivo),
catalogos_materiales_peligrosos60,M0060,ESPOLETAS DETONANTES (Producto o material explosivo),
catalogos_materiales_peligrosos61,M0061,ESPOLETAS DETONANTES (Producto o material explosivo),
catalogos_materiales_peligrosos62,M0062,"GRANADAS DE EJERCICIOS, de mano o de fusil (Producto o material explosivo)",
catalogos_materiales_peligrosos63,M0063,"GUANILNITROSAMINO- GUANILIDENHIDRAZINA HUMEDECIDA con un mínimo del 30 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos64,M0064,"GUANILNITROSAMINO- GUANILTETRACENO (TETRACENO) HUMEDECIDO con un mínimo del 30 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",
catalogos_materiales_peligrosos65,M0065,"HEXOLITA (HEXOTOL) seca o humedecida con menos del 15 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos66,M0066,INFLAMADORES (Producto o material explosivo),
catalogos_materiales_peligrosos67,M0067,"DISPOSITIVOS PORTADORES DE CARGAS HUECAS, CARGADOS, para perforación de pozos de petróleo, sin detonador (Producto o material explosivo)",
catalogos_materiales_peligrosos68,M0068,"AZIDA DE PLOMO HUMEDECIDA con un mínimo del 20 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",
catalogos_materiales_peligrosos69,M0069,"ESTIFNATO DE PLOMO (TRINITRORRESORCINATO DE PLOMO) HUMEDECIDO con un mínimo del 20 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",
catalogos_materiales_peligrosos70,M0070,INICIADOR PARA MECHAS DE SEGURIDAD (Producto o material explosivo),
catalogos_materiales_peligrosos71,M0071,"SALES METÁLICAS DEFLAGRANTES DE DERIVADOS NITRADOS AROMÁTICOS, N.E.P. (Producto o material explosivo)",
